"Date","Start_Time","Event_Type","Duration_Seconds","Seconds_Paused","Calories_Burned","Calories_Burned_Carbs","Calories_Burned_Fats","HR_Lowest","HR_Peak","HR_Average","UV_Exposure_Minutes","Total_Miles_Moved","Cardio_Benefit","Minutes_Under_50%_HR","Minutes_In_HRZ_Very_Light_50%_60%","Minutes_In_HRZ_Light_60%_70%","Minutes_In_HRZ_Moderate_70%_80%","Minutes_In_HRZ_Hard_80%_90%","Minutes_In_HRZ_Very_Hard_90%_Plus","HR_Finish","HR_Recovery_Rate_1_Min","HR_Recovery_Rate_2_Min","Recovery_Time_Seconds","Bike_Average_MPH","Bike_Max_MPH","Elevation_Highest_Feet","Elevation_Lowest_Feet","Elevation_Gain_Feet","Elevation_Loss_Feet","Climb_Rate_Feet_Per_Hour","Walk_Active_Seconds","Walk_Resting_Seconds","Wake_Up_Time","Seconds_Awake","Seconds_Asleep_Total","Seconds_Asleep_Restful","Seconds_Asleep_Light","Wake_Ups","Seconds_to_Fall_Asleep","Sleep_Efficiency","Sleep_Restoration","Sleep_HR_Resting","Sleep_Auto_Detect","GW_Plan_Name","GW_Reps_Performed","GW_Rounds_Performed","Golf_Course_Name","Golf_Course_Par","Golf_Total_Score","Golf_Par_or_Better","Golf_Pace_of_Play_Minutes","Golf_Longest_Drive_Yards"
"2016-02-22","2016-02-22 01:25:05","Sleep","23919","0","597","","","43","78","56","0","","","","","","","","","","","","","","","","","","","","","","2016-02-22 08:01:15","2305","21614","7032","14582","5","209","91","","45","Auto","","","","","","","","",""
"2016-02-23","2016-02-23 00:36:37","Sleep","26837","0","673","","","43","83","55","0","","","","","","","","","","","","","","","","","","","","","","2016-02-23 08:01:25","2663","24174","10140","14034","9","209","91","","46","Auto","","","","","","","","",""
"2016-02-24","2016-02-24 01:21:54","Sleep","21506","0","536","","","43","87","57","0","","","","","","","","","","","","","","","","","","","","","","2016-02-24 07:17:50","2453","19053","3796","15257","6","329","90","","47","Auto","","","","","","","","",""
"2016-02-25","2016-02-25 19:47:13","Run","3237","7","533","349","184","76","145","112","0","3.84085689572894","Strenuous","19","11","17","0","8","0","122","107","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-26","2016-02-26 01:17:55","Sleep","23068","0","594","","","45","124","59","0","","","","","","","","","","","","","","","","","","","","","","2016-02-26 07:25:26","1975","21093","9632","11461","3","209","96","","48","Auto","","","","","","","","",""
"2016-02-27","2016-02-27 01:14:24","Sleep","24852","0","629","","","41","79","54","0","","","","","","","","","","","","","","","","","","","","","","2016-02-27 08:00:07","2905","21947","5747","16200","6","209","90","","46","Auto","","","","","","","","",""
"2016-02-27","2016-02-27 09:51:16","Exercise","15559","6072","3727","1181","2546","72","168","129","132","","Improving","22","47","76","22","144","0","105","98","","95040","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-28","2016-02-28 00:37:04","Sleep","29564","0","809","","","50","123","63","0","","","","","","","","","","","","","","","","","","","","","","2016-02-28 08:47:19","2394","27170","5474","21696","5","239","93","","53","Auto","","","","","","","","",""
"2016-02-28","2016-02-28 10:52:43","Exercise","6083","2","1250","580","670","74","159","133","14","","Improving","4","12","29","8","50","0","121","","","73320","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-29","2016-02-29 01:03:50","Sleep","26867","0","687","","","45","133","60","0","","","","","","","","","","","","","","","","","","","","","","2016-02-29 08:29:08","957","25910","2961","22949","1","329","98","","49","Auto","","","","","","","","",""
"2016-03-01","2016-03-01 01:17:35","Sleep","20488","0","527","","","45","79","57","0","","","","","","","","","","","","","","","","","","","","","","2016-03-01 06:56:35","1555","18933","4963","13970","4","209","93","","52","Auto","","","","","","","","",""
"2016-03-02","2016-03-02 01:10:51","Sleep","24449","0","625","","","45","97","57","0","","","","","","","","","","","","","","","","","","","","","","2016-03-02 07:55:52","2573","21876","5234","16642","4","209","90","","48","Auto","","","","","","","","",""
"2016-03-02","2016-03-02 20:04:28","Run","2882","7","676","474","202","74","188","142","0","3.93698301916806","Strenuous","7","13","6","3","5","15","128","123","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-03","2016-03-03 01:11:16","Sleep","24983","0","664","","","49","80","61","0","","","","","","","","","","","","","","","","","","","","","","2016-03-03 08:01:11","2483","22500","5324","17176","5","209","92","","54","Auto","","","","","","","","",""
"2016-03-03","2016-03-03 20:20:59","Run","2621","2","598","402","196","85","178","133","0","3.5776689135449","Strenuous","4","5","9","3","22","1","118","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-04","2016-03-04 00:34:31","Sleep","21812","0","579","","","48","92","62","0","","","","","","","","","","","","","","","","","","","","","","2016-03-04 06:24:06","1735","20077","7478","12599","2","329","97","","53","Auto","","","","","","","","",""
"2016-03-05","2016-03-05 01:04:11","Sleep","24782","0","619","","","48","115","56","0","","","","","","","","","","","","","","","","","","","","","","2016-03-05 07:32:46","2065","22717","6492","16225","2","209","98","","51","Auto","","","","","","","","",""
"2016-03-06","2016-03-06 00:44:36","Sleep","29086","0","728","","","44","90","56","0","","","","","","","","","","","","","","","","","","","","","","2016-03-06 08:46:53","1825","27261","8316","18945","3","448","95","","47","Auto","","","","","","","","",""
"2016-03-06","2016-03-06 11:01:26","Exercise","6847","8","1363","623","740","75","160","126","22","","Maintaining","6","15","58","1","34","0","126","99","88","59400","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-07","2016-03-07 01:17:20","Sleep","23681","0","591","","","44","76","54","0","","","","","","","","","","","","","","","","","","","","","","2016-03-07 07:49:32","2960","20721","7354","13367","7","209","88","","46","Auto","","","","","","","","",""
"2016-03-07","2016-03-07 19:53:51","Run","2662","1","588","407","181","68","175","132","0","3.70787103316631","Strenuous","9","9","1","9","17","1","103","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-08","2016-03-08 01:13:26","Sleep","23433","0","597","","","47","86","58","0","","","","","","","","","","","","","","","","","","","","","","2016-03-08 07:36:01","4369","19064","6552","12512","8","209","83","","51","Auto","","","","","","","","",""
"2016-03-09","2016-03-09 00:52:16","Sleep","25585","0","660","","","46","90","59","0","","","","","","","","","","","","","","","","","","","","","","2016-03-09 07:56:12","2633","22952","3440","19512","4","209","90","","48","Auto","","","","","","","","",""
"2016-03-10","2016-03-10 01:33:47","Sleep","24360","0","621","","","44","92","57","0","","","","","","","","","","","","","","","","","","","","","","2016-03-10 08:17:18","2873","21487","4099","17388","9","299","89","","47","Auto","","","","","","","","",""
"2016-03-10","2016-03-10 19:34:03","Run","2695","2","657","447","210","80","179","127","0","3.64205539648453","Strenuous","16","6","1","7","0","16","95","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-11","2016-03-11 01:04:23","Sleep","24022","0","618","","","45","87","56","0","","","","","","","","","","","","","","","","","","","","","","2016-03-11 07:36:47","1167","22855","5862","16993","2","209","97","","49","Auto","","","","","","","","",""
"2016-03-12","2016-03-12 02:57:28","Sleep","28814","0","732","","","43","84","55","0","","","","","","","","","","","","","","","","","","","","","","2016-03-12 10:55:13","3441","25373","10350","15023","9","269","89","","46","Auto","","","","","","","","",""
"2016-03-12","2016-03-12 15:31:03","Run","2705","3","735","501","234","76","121","114","0","3.6673203491609","Strenuous","37","7","2","0","0","0","92","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-13","2016-03-13 14:46:41","Sleep","10430","0","263","","","49","76","60","0","","","","","","","","","","","","","","","","","","","","","","2016-03-13 17:38:02","1256","9174","3077","6097","4","209","90","","53","Auto","","","","","","","","",""
